rho	S	betaP
0.10	-0.0000000000	0.1031830884
0.20	-0.0000000000	0.2127323536
0.30	0.0000000000	0.3286477955
0.40	-0.0000000000	0.4509294142
0.50	-0.0000000000	0.5795772097
0.60	-0.0000000000	0.7145911820
0.70	0.0000000000	0.8559713311
0.80	0.0000000000	1.0037176570
0.90	0.0000000000	1.1578301596
1.00	0.0000000000	1.3183088390
1.10	0.0000000000	1.4851536952
1.20	-0.0000000000	1.6583647281
1.30	0.0000000000	1.8379419379
1.40	0.0000000000	2.0238853244
1.50	0.0000000000	2.2161948877
1.60	0.0000000000	2.4148706278
1.70	0.0000000000	2.6199125447
1.80	0.0000000000	2.8313206383
1.90	-0.0000000000	3.0490949087
2.00	0.0000000000	3.2732353559
2.10	0.0000000000	3.5037419799
2.20	0.0000000000	3.7406147807
2.30	0.0000000000	3.9838537582
2.40	-0.0000000000	4.2334589126
2.50	0.0000000000	4.4894302437
2.60	0.0000000000	4.7517677515
2.70	0.0000000000	5.0204714362
2.80	0.0000000000	5.2955412976
2.90	0.0000000000	5.5769773359
3.00	0.0000000000	5.8647795509
3.10	0.0000000000	6.1589479427
3.20	0.0000000000	6.4594825112
3.30	0.0000000000	6.7663832566
3.40	0.0000000000	7.0796501787
3.50	0.0000000000	7.3992832776
3.60	0.0000000000	7.7252825533
3.70	0.0000000000	8.0576480057
3.80	0.0000000000	8.3963796350
3.90	0.0000000001	8.7414774410
4.00	0.0000000006	9.0929414238
4.10	0.0000000154	9.4507715833
4.20	0.0000002082	9.8149679197
4.30	0.0000012996	10.1855304328
4.40	0.0000355404	10.5624591176
4.50	0.0001492688	10.9457538937
4.60	0.0016302897	11.3354030979
4.70	0.0023286726	11.7314168331
4.80	0.1284278764	12.0530887858
4.90	0.3044509337	12.0667097821
5.00	0.3816172420	12.1755013996
5.10	0.4360484343	12.3121639222
5.20	0.4806498040	12.4536425505
5.30	0.5187448616	12.5969910626
5.40	0.5518960691	12.7420756985
5.50	0.5811497694	12.8888519584
5.60	0.6072094997	13.0372789145
5.70	0.6306085991	13.1873159532
5.80	0.6517567144	13.3389227773
5.90	0.6709935673	13.4920594309
6.00	0.6885447805	13.6466863268
6.10	0.7046310016	13.8027642742
6.20	0.7194251427	13.9602545059
6.30	0.7330685918	14.1191187034
6.40	0.7456966973	14.2793190219
6.50	0.7573982482	14.4408181134
6.60	0.7682839544	14.6035791488
6.70	0.7784112310	14.7675658386
6.80	0.7878680232	14.9327424523
6.90	0.7967015276	15.0990738369
7.00	0.8049761459	15.2665254333
7.10	0.8127352338	15.4350632914
7.20	0.8200323446	15.6046540850
7.30	0.8268835406	15.7752651232
7.40	0.8333337715	15.9468643626
7.50	0.8394249861	16.1194204163
7.60	0.8451657586	16.2929025630
7.70	0.8505908072	16.4672807535
7.80	0.8557311195	16.6425256166
7.90	0.8605958054	16.8186084634
8.00	0.8652123819	16.9955012908
8.10	0.8695899239	17.1731767828
8.20	0.8737398375	17.3516083113
8.30	0.8776963716	17.5307699357
8.40	0.8814528749	17.7106364014
8.50	0.8850303211	17.8911831363
8.60	0.8884448438	18.0723862481
8.70	0.8916998221	18.2542225185
8.80	0.8948060185	18.4366693982
8.90	0.8977652754	18.6197049999
9.00	0.9006074831	18.8033080915
9.10	0.9033211243	18.9874580872
9.20	0.9059199514	19.1721350390
9.30	0.9084094702	19.3573196275
9.40	0.9107799962	19.5429931512
9.50	0.9130670928	19.7291375162
9.60	0.9152743562	19.9157352252
9.70	0.9173816112	20.1027693654
9.80	0.9194094455	20.2902235971
9.90	0.9213596498	20.4780821412
10.00	0.9232199345	20.6663297665
